user_id,event_id,signal_type,rating,label,implicit_label,signal_weight,timestamp,organizer_is_followed
9643,573,join_rated,2.0,0,1,2.0,2023-01-01 11:27:30.426634,0
9434,573,join_rated,4.0,1,1,3.0,2023-01-01 11:40:14.445132,0
9578,573,join_rated,2.0,0,1,2.0,2023-01-01 11:55:22.500892,0
9164,573,join_rated,2.0,0,1,2.0,2023-01-01 12:11:14.438905,0
9782,573,join_rated,4.0,1,1,3.0,2023-01-01 12:16:43.126285,0
9213,573,join_rated,3.0,1,1,3.0,2023-01-01 12:28:57.085894,0
9953,3165,join_no_rate,,1,1,1.0,2023-01-01 19:26:30.188251,0
9473,3165,join_no_rate,,1,1,1.0,2023-01-01 19:28:59.461850,0
9509,3165,join_rated,1.0,0,1,2.0,2023-01-01 19:36:26.526263,0
9715,3165,join_rated,4.0,1,1,3.0,2023-01-01 19:53:35.803538,0
9704,3165,join_rated,2.0,0,1,2.0,2023-01-01 20:17:43.170546,0
9396,3165,join_no_rate,,1,1,1.0,2023-01-01 20:40:27.457133,0
9353,2355,join_rated,3.0,1,1,3.0,2023-01-01 21:07:07.344240,0
9007,3165,leave,,0,-1,-1.5,2023-01-01 21:09:12.877987,0
9248,2355,join_rated,2.0,0,1,2.0,2023-01-01 21:09:50.020896,0
9093,2355,join_rated,1.0,0,1,2.0,2023-01-01 21:10:37.590925,0
9713,2537,join_no_rate,,1,1,1.0,2023-01-01 21:31:03.909378,0
9641,2537,join_rated,2.0,0,1,2.0,2023-01-01 21:32:49.108504,0
9519,2537,join_rated,2.0,0,1,2.0,2023-01-01 21:39:43.040809,0
9409,2355,join_no_rate,,1,1,1.0,2023-01-01 21:39:56.935885,0
9367,2355,join_rated,4.0,1,1,3.0,2023-01-01 21:45:21.955805,0
9567,2355,join_no_rate,,1,1,1.0,2023-01-01 21:45:42.184157,0
9032,2355,join_rated,3.0,1,1,3.0,2023-01-01 21:47:04.474517,0
9637,2537,join_rated,4.0,1,1,3.0,2023-01-01 21:51:13.609851,0
9950,2355,join_rated,3.0,1,1,3.0,2023-01-01 22:04:13.063681,0
9111,2355,join_no_rate,,1,1,1.0,2023-01-01 22:07:00.444864,0
9189,2537,join_rated,3.0,1,1,3.0,2023-01-01 22:13:04.075034,0
9006,2355,join_no_rate,,1,1,1.0,2023-01-01 22:14:58.667437,0
9148,2537,join_rated,1.0,0,1,2.0,2023-01-01 22:17:43.983811,0
9581,2537,join_rated,2.0,0,1,2.0,2023-01-01 22:19:39.604236,0
9242,2355,join_rated,2.0,0,1,2.0,2023-01-01 22:21:37.720653,0
9881,2355,join_rated,2.0,0,1,2.0,2023-01-01 22:21:39.361693,0
9616,2537,join_rated,1.0,0,1,2.0,2023-01-01 22:55:55.222155,0
9166,2537,join_no_rate,,1,1,1.0,2023-01-01 23:06:16.014355,0
9979,2537,join_rated,2.0,0,1,2.0,2023-01-01 23:17:53.747231,0
9950,733,join_rated,3.0,1,1,3.0,2023-01-02 10:16:06.334320,0
9694,733,join_rated,2.0,0,1,2.0,2023-01-02 10:35:32.046148,0
9866,733,join_rated,3.0,1,1,3.0,2023-01-02 10:45:56.301548,0
9607,733,join_no_rate,,1,1,1.0,2023-01-02 11:03:33.491171,0
9663,733,join_rated,4.0,1,1,3.0,2023-01-02 11:07:25.892083,0
9015,733,join_rated,3.0,1,1,3.0,2023-01-02 11:21:30.061459,0
9635,733,join_no_rate,,1,1,1.0,2023-01-02 11:23:04.902432,0
9558,733,join_rated,3.0,1,1,3.0,2023-01-02 11:25:55.836865,0
9154,733,join_no_rate,,1,1,1.0,2023-01-02 11:29:12.464633,0
9704,733,join_no_rate,,1,1,1.0,2023-01-02 11:36:06.891878,0
9629,733,join_no_rate,,1,1,1.0,2023-01-02 11:48:08.914335,0
9557,733,join_no_rate,,1,1,1.0,2023-01-02 11:59:11.665282,0
9323,2980,join_rated,3.0,1,1,3.0,2023-01-02 13:19:16.758520,0
9147,2980,join_no_rate,,1,1,1.0,2023-01-02 13:22:47.755185,0
9176,2980,join_no_rate,,1,1,1.0,2023-01-02 13:36:46.197343,0
9872,2980,join_no_rate,,1,1,1.0,2023-01-02 13:37:34.621842,0
9045,2980,join_rated,2.0,0,1,2.0,2023-01-02 13:37:39.024553,0
9718,2980,join_no_rate,,1,1,1.0,2023-01-02 13:58:24.039097,0
9068,2980,join_no_rate,,1,1,1.0,2023-01-02 14:01:46.657715,0
9768,2980,join_no_rate,,1,1,1.0,2023-01-02 14:37:48.899467,0
9230,2980,join_no_rate,,1,1,1.0,2023-01-02 14:55:32.074429,0
9635,456,join_rated,2.0,0,1,2.0,2023-01-02 21:17:56.856245,0
9607,1029,join_no_rate,,1,1,1.0,2023-01-02 21:36:01.753541,0
9367,1029,join_no_rate,,1,1,1.0,2023-01-02 21:47:46.750146,0
9340,1029,join_rated,2.0,0,1,2.0,2023-01-02 21:55:43.914034,0
9405,1029,join_no_rate,,1,1,1.0,2023-01-02 21:57:17.975470,0
9767,1029,join_rated,4.0,1,1,3.0,2023-01-02 22:13:53.174211,0
9930,2479,join_rated,2.0,0,1,2.0,2023-01-02 22:25:20.775943,0
9835,1788,join_rated,2.0,0,1,2.0,2023-01-02 22:26:50.417336,0
9521,2479,join_rated,3.0,1,1,3.0,2023-01-02 22:28:12.114157,0
9143,1029,join_no_rate,,1,1,1.0,2023-01-02 22:32:13.861406,0
9006,1029,join_rated,2.0,0,1,2.0,2023-01-02 22:38:10.426066,0
9929,2479,join_no_rate,,1,1,1.0,2023-01-02 22:38:44.656788,0
9461,1029,join_rated,1.0,0,1,2.0,2023-01-02 22:46:01.532522,0
9733,1788,join_no_rate,,1,1,1.0,2023-01-02 22:49:44.979323,0
9879,1029,join_no_rate,,1,1,1.0,2023-01-02 22:56:39.749169,0
9915,1788,join_rated,2.0,0,1,2.0,2023-01-02 22:59:23.520715,0
9429,1029,leave,,0,-1,-1.5,2023-01-02 23:02:22.678658,0
9434,456,join_rated,3.0,1,1,3.0,2023-01-02 23:02:55.254256,0
9736,2479,join_rated,2.0,0,1,2.0,2023-01-02 23:10:38.746495,0
9324,2479,join_no_rate,,1,1,1.0,2023-01-02 23:18:21.873943,0
9178,2479,join_rated,4.0,1,1,3.0,2023-01-02 23:28:18.322262,0
9725,1788,join_rated,4.0,1,1,3.0,2023-01-02 23:28:51.226118,0
9108,1029,join_rated,3.0,1,1,3.0,2023-01-02 23:29:20.571034,0
9547,1921,join_rated,3.0,1,1,3.0,2023-01-03 19:51:04.363916,0
9404,1921,join_rated,3.0,1,1,3.0,2023-01-03 19:53:09.931164,0
9696,1921,join_no_rate,,1,1,1.0,2023-01-03 20:02:34.216400,0
9733,2944,join_rated,1.0,0,1,2.0,2023-01-03 20:03:36.283357,0
9154,2944,join_rated,3.0,1,1,3.0,2023-01-03 20:06:53.816223,0
9876,1921,join_rated,4.0,1,1,3.0,2023-01-03 20:07:36.995791,0
9950,2944,join_rated,2.0,0,1,2.0,2023-01-03 20:14:58.460960,0
9468,2944,join_rated,4.0,1,1,3.0,2023-01-03 20:22:03.685892,0
9862,1921,join_rated,3.0,1,1,3.0,2023-01-03 20:42:44.484012,0
9728,2944,join_rated,3.0,1,1,3.0,2023-01-03 20:42:49.352349,0
9930,1921,join_rated,2.0,0,1,2.0,2023-01-03 20:46:33.889503,0
9199,1921,join_no_rate,,1,1,1.0,2023-01-03 20:46:35.352506,0
9145,1921,join_rated,4.0,1,1,3.0,2023-01-03 20:47:25.027052,0
9371,2944,join_rated,3.0,1,1,3.0,2023-01-03 20:49:22.814999,0
9790,2944,join_rated,3.0,1,1,3.0,2023-01-03 20:57:03.590368,0
9941,1921,join_no_rate,,1,1,1.0,2023-01-03 20:57:16.289224,0
9079,1921,join_no_rate,,1,1,1.0,2023-01-03 21:01:35.350954,0
9580,1921,join_rated,3.0,1,1,3.0,2023-01-03 21:05:18.360287,0
9709,1921,join_rated,3.0,1,1,3.0,2023-01-03 21:08:00.614180,0
9930,1134,join_rated,2.0,0,1,2.0,2023-01-03 21:09:11.831482,0
9063,2944,join_no_rate,,1,1,1.0,2023-01-03 21:10:03.281081,0
9333,2944,join_rated,4.0,1,1,3.0,2023-01-03 21:14:31.338038,0
9338,1134,join_rated,3.0,1,1,3.0,2023-01-03 21:15:19.170896,0
9632,1134,join_no_rate,,1,1,1.0,2023-01-03 21:19:48.675653,0
9223,2944,join_rated,3.0,1,1,3.0,2023-01-03 21:23:53.893916,0
9409,1134,join_rated,4.0,1,1,3.0,2023-01-03 21:30:23.585157,0
9166,1134,join_rated,4.0,1,1,3.0,2023-01-03 21:40:16.983852,0
9741,2944,join_rated,2.0,0,1,2.0,2023-01-03 21:40:20.393457,0
