follower_id,following_id
0,8481
0,6980
0,3432
0,9260
0,6828
0,8783
0,5014
0,23
0,9304
0,3805
1,6342
1,5289
1,7466
1,9455
1,1586
1,3221
1,4247
1,6301
2,5176
2,2817
2,1683
2,4428
3,8643
3,8068
3,6980
3,2214
3,9191
3,4075
3,8076
3,1328
3,2225
3,3222
3,7453
4,7778
4,1007
4,2513
4,1492
4,7738
5,5363
5,2228
5,998
6,3712
6,8433
6,2395
6,316
6,3896
6,3771
6,9116
7,9218
7,3416
7,2628
7,966
7,1065
7,2158
7,17
7,8120
9,7074
9,3523
9,2884
9,3300
9,898
9,1707
9,5420
9,6127
9,2639
9,977
9,6427
10,3330
10,2150
10,1670
10,6568
10,3052
10,3728
10,5681
10,9746
11,4972
11,7404
12,1344
12,5573
12,775
12,5547
12,2955
12,1495
13,9121
13,5763
13,2756
13,901
13,4169
13,4395
13,3821
13,9325
13,2164
13,6462
14,7321
14,1468
14,4392
14,3434
14,2319
14,529
14,2681
14,6394
14,3708
15,7016
15,8961
15,3292
16,9987
16,3142
16,3643
16,7902
17,2370
17,9094
17,3146
17,6164
17,6037
17,8919
18,4644
18,2916
18,8331
18,2380
18,8875
18,2927
18,7645
18,3358
18,6271
19,3040
19,2528
19,6433
19,6668
19,845
19,659
19,5526
19,7382
19,9913
19,1307
20,5380
20,4806
20,2604
20,8685
20,430
20,1809
20,1365
20,6422
20,4031
21,8738
21,4462
21,6772
21,1529
21,1083
22,8037
23,1432
24,1568
24,7301
24,8615
24,1867
24,1945
24,1340
24,5117
24,3038
25,2694
25,9806
25,6834
25,242
25,9970
26,1962
26,8597
26,7583
27,9252
27,8009
27,2348
27,3439
27,7413
28,6690
28,4611
28,1646
28,5559
29,227
29,3205
29,8071
29,7788
29,8109
29,9741
29,6476
29,2732
29,5105
29,1530
29,5490
29,7026
29,4863
29,728
29,2330
29,1596
29,2143
30,3525
30,9126
30,3334
30,7630
30,7055
30,977
30,2265
30,4540
31,6329
31,6884
31,686
31,3431
32,5056
32,161
32,609
32,3376
32,1142
33,3938
33,3790
33,3599
33,6807
33,6332
34,976
34,2986
34,9324
34,1958
35,896
35,7172
35,2711
35,606
35,31
36,613
36,6216
36,7593
36,8208
36,3798
36,1563
36,2334
37,8131
37,3012
37,9610
37,4811
37,7562
38,6981
38,9134
38,5262
38,6290
38,2389
38,8537
38,6554
38,4732
39,257
39,67
39,9737
39,3468
39,3153
39,4343
39,730
39,4058
40,5314
40,6218
40,1872
40,5842
40,6547
40,1844
40,7230
40,2526
41,5153
41,1069
41,759
41,5912
41,7577
42,3360
42,3555
42,8038
42,2855
42,8663
42,4569
42,445
42,5247
43,2884
43,8775
43,1449
43,6890
43,4076
43,1775
43,8464
43,5750
43,9814
43,2393
43,1758
44,4583
44,7305
44,5386
44,9419
44,1260
44,6893
44,4270
44,1070
44,8656
44,8049
44,462
44,1299
44,7348
45,3741
45,2926
45,7854
45,1459
45,9941
45,2682
45,2940
45,4285
46,6372
46,6724
46,1577
46,4623
46,5398
47,2921
47,2723
48,967
48,9391
48,8213
48,5494
48,3420
49,6960
49,644
50,2884
50,1256
50,744
50,5519
50,8147
50,213
50,886
51,386
51,4573
52,3270
52,8297
52,2255
52,6960
52,9332
53,2019
53,7901
53,1161
53,3528
53,2216
53,3826
53,4950
53,5145
53,5914
53,6397
53,7966
54,1091
54,4974
54,7539
54,8724
54,7733
54,6815
55,7168
55,6625
55,1764
55,2764
55,7795
55,2616
55,2681
55,5306
55,6043
55,9116
55,3229
56,1915
56,5638
57,9568
57,8423
57,4105
57,169
57,6954
57,6479
57,2937
57,9882
57,253
58,8778
58,4601
58,8494
58,8110
58,4147
58,4019
58,7124
58,7382
58,5273
58,6623
59,4134
59,6698
59,6353
59,3411
59,2487
60,9408
60,4903
60,2352
60,9206
60,5560
61,3520
61,7991
61,8303
62,5475
62,4542
62,8838
62,8300
62,5580
62,7917
62,3314
62,4119
62,6551
62,9821
62,2782
63,7527
63,9132
63,8271
63,5167
63,2172
64,9219
64,422
64,2182
64,2730
64,4016
64,6453
64,6742
64,1718
65,9318
65,1639
65,4966
65,3913
65,7721
65,2027
65,303
65,1237
65,1531
65,2812
65,2557
66,4068
66,3495
66,5927
66,5582
66,6324
66,9269
66,6197
66,2583
66,2200
67,9565
67,7854
68,1945
68,7828
68,8006
68,62
69,9504
69,3811
69,5444
69,8935
69,7688
69,6797
69,6035
69,1785
69,3098
69,956
70,1361
70,4921
71,8133
71,5287
71,4812
71,3470
71,6321
71,2418
72,3395
72,1885
72,2247
73,9355
73,1541
73,6379
74,208
74,8131
75,8249
75,2451
75,1908
76,8615
76,1673
76,2250
76,5739
76,4369
76,857
76,5819
77,8751
77,3763
77,6169
77,6618
77,6431
78,3210
78,3085
78,4589
78,6837
78,2872
78,7102
79,9569
79,3554
79,5218
79,5540
79,2470
79,5702
79,5970
79,1752
79,5721
79,4285
80,4837
80,5575
80,2471
80,3502
80,5589
80,5782
80,7132
80,829
80,8703
81,7171
81,8505
81,201
81,7183
81,3540
81,4856
81,2041
82,2049
82,8642
82,3174
82,9158
82,6192
82,8211
82,5947
83,3201
83,8786
83,6572
83,9365
84,8242
84,3388
85,8352
85,6915
85,1795
85,3717
85,8392
85,7378
85,5459
85,4018
85,696
85,6585
85,7642
85,8923
85,5822
85,7231
86,7200
86,4578
86,292
86,1579
86,8174
86,8622
86,7182
86,8753
86,4919
86,2330
87,195
87,2981
87,343
87,6651
87,4763
88,8872
88,5377
88,4386
88,7779
89,8845
89,5208
89,7151
89,6456
89,7099
89,350
90,7809
90,72
90,8108
90,8558
90,7407
90,1690
91,8881
91,4939
91,7476
91,9254
92,1094
92,6797
92,1327
92,7985
92,8566
92,8254
93,3617
93,2052
93,1481
93,3885
93,3125
93,8025
94,7337
94,9839
94,3571
94,5557
94,2175
95,7904
95,6081
95,8610
95,6402
95,4131
95,5251
95,6499
95,8109
95,9102
95,2161
95,6803
95,5658
95,410
95,4251
95,828
96,2407
96,4905
96,6219
96,3342
96,8527
96,703
96,3832
96,9050
96,2459
96,6813
96,7103
98,1281
98,4291
98,1832
98,6581
98,1688
98,5691
99,1129
99,4861
100,7929
101,9600
101,4545
101,8362
101,9004
101,8205
101,6382
101,2287
101,9844
101,3830
101,3480
101,7515
101,732
102,7635
102,340
102,1158
103,4298
103,1891
103,4612
104,4195
104,1574
104,1352
104,5962
104,5711
104,341
104,7158
104,8600
104,5116
104,1886
105,3297
105,1505
105,6243
105,8390
105,7495
105,7398
105,9671
105,5607
105,8649
105,6045
105,9904
105,632
105,2972
105,2173
106,8554
106,7090
106,83
106,1492
106,184
106,3679
107,2755
107,7044
107,8933
107,6341
107,6120
107,3917
108,600
108,6914
108,4068
110,5729
110,4553
110,9291
110,3345
110,6097
111,8897
111,3589
111,3014
111,5509
111,7018
111,9036
111,6581
111,6040
112,9474
112,4580
112,8815
112,4432
112,7897
112,4699
112,1115
112,6909
113,800
113,6979
113,1576
113,2189
113,2637
113,7952
113,8277
113,2815
114,8654
114,2513
114,9905
114,8406
114,5115
115,4905
116,9600
116,737
116,9710
116,6065
116,535
117,1987
117,4457
117,203
117,6572
117,7313
117,6132
117,725
117,5624
117,2777
117,285
117,2367
118,7088
118,8091
118,5054
119,2339
119,3172
119,2566
119,7176
119,3249
119,8182
119,4215
119,5886
120,4676
120,5770
120,3212
120,5775
120,1940
120,3383
120,7128
121,5826
121,3909
121,1578
121,7084
121,2412
121,3702
121,1912
121,2809
121,2172
122,209
122,2473
122,5830
123,7874
123,6371
123,4292
123,9511
123,7274
123,5716
123,8405
123,4693
123,7930
124,2210
124,3982
124,7285
124,9238
124,3701
124,5979
124,6365
124,2015
125,8935
125,8565
125,2235
125,3484
125,1759
126,4257
126,9702
126,1766
126,1288
126,4466
126,1238
126,2939
127,4941
127,628
127,2486
127,2518
127,5435
127,927
128,7296
128,4456
128,4184
128,5049
128,9213
129,8669
129,3936
129,8677
